id;nom_evalu;type_evalu;date_eva;heure_deb_eva;heure_fin_eva
1;Luxembourg;maroon;2022-03-21;2022-03-22T01:35:22;2022-03-22T01:50:46
2;Berkshire cross-platform Franc;contingency;2022-03-22;2022-03-21T15:38:05;2022-03-22T09:36:19
3;c;green Practical Nigeria;2022-03-22;2022-03-22T05:23:35;2022-03-22T12:00:16
4;GB;bypass;2022-03-22;2022-03-22T10:10:22;2022-03-22T06:39:21
5;cross-media bus online;index a Auvergne;2022-03-21;2022-03-22T05:02:03;2022-03-21T14:20:33
6;Micronésie;Champagne-Ardenne Health mindshare;2022-03-22;2022-03-21T22:16:26;2022-03-22T06:18:48
7;Money Fresh Agent;Directeur;2022-03-22;2022-03-21T21:23:12;2022-03-22T11:52:50
8;parse;Serbie deposit;2022-03-22;2022-03-21T23:37:42;2022-03-22T12:51:55
9;AGP Malaysian Clothing;Poitou-Charentes card digital;2022-03-22;2022-03-22T08:48:15;2022-03-21T20:24:27
10;reboot Account c;Panama;2022-03-22;2022-03-21T16:52:40;2022-03-22T02:27:08
