id;jour_seance;date_seance;date_debut;date_fin
1;Mercredi;2022-03-21;2022-03-21T14:20:32;2022-03-21T21:19:44
2;Mardi;2022-03-22;2022-03-22T13:08:47;2022-03-21T17:33:18
3;Jeudi;2022-03-22;2022-03-21T23:56:38;2022-03-22T06:29:33
4;Samedi;2022-03-22;2022-03-21T20:27:45;2022-03-21T19:58:52
5;Vendredi;2022-03-22;2022-03-22T04:09:04;2022-03-21T16:26:20
6;Lundi;2022-03-22;2022-03-22T00:47:56;2022-03-22T10:23:04
7;Samedi;2022-03-22;2022-03-22T08:34:45;2022-03-21T18:13:24
8;Mercredi;2022-03-21;2022-03-21T15:33:39;2022-03-21T23:20:10
9;Jeudi;2022-03-21;2022-03-22T02:44:38;2022-03-22T00:27:53
10;Lundi;2022-03-21;2022-03-22T07:25:03;2022-03-22T10:46:51
